,pid,name,sid,sentence,score,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,,,,,,,,,,,,,,,,
44,0,alabama,44,This area was claimed by the French from 1702 to 1763 as part of La Louisiane.,0.14,0.030624724458903,0.097615508473246,0.061927542160265,0.040145524946274,0.05524575826712,0.034189111893647,0.053751172637567,0.087311393872369,0.032289792282973,0.506899470090866,,,,,,,,,,,,,,,,
45,0,alabama,45,"After the French lost to the British in the Seven Years' War, it became part of British West Florida from 1763 to 1783.",0.16,0.029994081775658,0.013296390464529,0.018832916533575,0.016062559036072,0.017485841066809,0.019917114553391,0.017079960618867,0.022449226299068,0.02361724821385,0.821264681220054,,,,,,,,,,,,,,,,
46,0,alabama,46,"After the United States victory in the American Revolutionary War, the territory was divided between the United States and Spain.",0.13,0.008442630438367,0.005337167374091,0.007090887241066,0.013497134868521,0.004274112000712,0.005236334484653,0.009123868419556,0.014821094743093,0.01635601875314,0.915820747613907,,,,,,,,,,,,,,,,
47,0,alabama,47,"The latter retained control of this western territory from 1783 until the surrender of the Spanish garrison at Mobile to US forces on April 13, 1813.",0.14,0.092903380282223,0.025220060255379,0.03334644499264,0.047371484618634,0.028461658663582,0.030666006309912,0.035341492353473,0.044345079548657,0.057364743831568,0.604979662597179,,,,,,,,,,,,,,,,
48,0,alabama,48,"Thomas Bassett, a loyalist to the British monarchy during the Revolutionary era, was one of the earliest white settlers in the state outside Mobile.",0.13,0.035025322448928,0.040491094440222,0.098176116438117,0.036289863102138,0.018632522458211,0.029517737333663,0.01257848853129,0.04190101394197,0.030927459453233,0.656460358202457,,,,,,,,,,,,,,,,
49,0,alabama,49,He settled in the Tombigbee District during the early 1770s.,0.13,0.062132596969605,0.222432962059975,0.050284393585753,0.1044173900038,0.067182282358408,0.071630014362745,0.071124948491342,0.092377016367391,0.039600800978951,0.218817606940866,,,,,,,,,,,,,,,,
50,0,alabama,50,"The district's boundaries were roughly limited to the area within a few miles of the Tombigbee River and included portions of what is today southern Clarke County, northernmost Mobile County, and most of Washington County.",0.16,0.056472506700084,0.023510937753599,0.036290574865416,0.144208261463791,0.025079082592856,0.024046340052155,0.017009305546526,0.608750225603581,0.033410978270695,0.031221778946929,,,,,,,,,,,,,,,,
51,0,alabama,51,"What is now the counties of Baldwin and Mobile became part of Spanish West Florida in 1783, part of the independent Republic of West Florida in 1810, and was finally added to the Mississippi Territory in 1812.",0.14,0.035026694345288,0.015148801746545,0.017425857711351,0.014461651456077,0.015339186985511,0.024904090777272,0.019967038999312,0.245953840389848,0.027766956330743,0.584005908668041,,,,,,,,,,,,,,,,
52,0,alabama,52,Most of what is now the northern two-thirds of Alabama was known as the Yazoo lands beginning during the British colonial period.,0.16,0.027113699709298,0.044225239916705,0.031132720841561,0.03520467892522,0.029491785162827,0.032789664005395,0.053763308748603,0.432506041228771,0.037209388881456,0.27656345567666,,,,,,,,,,,,,,,,
53,0,alabama,53,It was claimed by the Province of Georgia from 1767 onwards.,0.13,0.107687852135859,0.269608233496547,0.029867137945257,0.067153590498492,0.062892804970034,0.112812128535006,0.072102108469699,0.091310511436313,0.058113581489306,0.128452057950199,,,,,,,,,,,,,,,,
54,0,alabama,54,"Following the Revolutionary War, it remained a part of Georgia, although heavily disputed.",0.13,0.063251185242552,0.04044785592705,0.051505743502639,0.052363774599508,0.053005658381153,0.077668069815263,0.054234865505714,0.054462854051963,0.057595387462061,0.49546460583806,,,,,,,,,,,,,,,,
55,0,alabama,55,"With the exception of the area around Mobile and the Yazoo lands, what is now the lower one-third of Alabama was made part of the Mississippi Territory when it was organized in 1798.",0.16,0.040898043487687,0.026633909996599,0.039334300468909,0.015033390832832,0.021061002847273,0.031633827523911,0.03392713915091,0.614758004248142,0.037108797393739,0.13961157896556,,,,,,,,,,,,,,,,
56,0,alabama,56,"The Yazoo lands were added to the territory in 1804, following the Yazoo land scandal.",0.13,0.102853646897711,0.130606780713424,0.055856995983049,0.070668958197348,0.031591366860084,0.037279690685682,0.040235695164302,0.098619355773553,0.038894662295934,0.393392849341035,,,,,,,,,,,,,,,,
57,0,alabama,57,Spain kept a claim on its former Spanish West Florida territory in what would become the coastal counties until the Adams–Onís Treaty officially ceded it to the United States in 1819.,0.14,0.030860260862392,0.016500526189339,0.012328125158092,0.022065536933951,0.01557999572251,0.013658347673481,0.020758754987037,0.13506673485972,0.020304097977351,0.712877605855465,,,,,,,,,,,,,,,,
58,0,alabama,58,"Before Mississippi's admission to statehood on December 10, 1817, the more sparsely settled eastern half of the territory was separated and named the Alabama Territory.",0.16,0.031124445726164,0.021812868083362,0.030542174703442,0.026233649090864,0.018091521156021,0.037997836715658,0.027195115636278,0.502000833302736,0.018551470979583,0.286450065672398,,,,,,,,,,,,,,,,
59,0,alabama,59,"The United States Congress created the Alabama Territory on March 3, 1817.",0.14,0.033498510543723,0.032528055773582,0.023723721728311,0.025996881682659,0.033881481387653,0.068667859141715,0.041275899112225,0.03533921467606,0.018592551600887,0.686495813727379,,,,,,,,,,,,,,,,
60,0,alabama,60,"St. Stephens, now abandoned, served as the territorial capital from 1817 to 1819.",0.27,0.061377161572455,0.243151312507689,0.047343559889123,0.100271777343005,0.048867707373574,0.044612805615179,0.087746025947854,0.159061164734885,0.064489267813042,0.14307919992134,,,,,,,,,,,,,,,,
61,0,alabama,61,"Alabama was admitted as the 22nd state on December 14, 1819, with Congress selecting Huntsville as the site for the first Constitutional Convention.",0.14,0.059922508872114,0.025967234151904,0.030160255474039,0.046034475325723,0.038281959854066,0.141365149850026,0.05427120635286,0.042322024493478,0.028811284480617,0.53286390081048,,,,,,,,,,,,,,,,
62,0,alabama,62,"From July 5 to August 2, 1819, delegates met to prepare the new state constitution.",0.14,0.086600916879252,0.059081468259683,0.064609391090926,0.051193357584998,0.047456205240451,0.314012575149536,0.036264817923075,0.073718981258571,0.044770354276989,0.222291937563568,,,,,,,,,,,,,,,,
